Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Tanzania,TZA,2021,Agricultural land (sq. km),AG.LND.AGRI.K2,395212
Tanzania,TZA,2020,Agricultural land (sq. km),AG.LND.AGRI.K2,395212
Tanzania,TZA,2019,Agricultural land (sq. km),AG.LND.AGRI.K2,393097
Tanzania,TZA,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,390974
Tanzania,TZA,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,388851
Tanzania,TZA,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,386728
Tanzania,TZA,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,384605
Tanzania,TZA,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,382482
Tanzania,TZA,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,380359
Tanzania,TZA,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,374975.94
Tanzania,TZA,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,376113
Tanzania,TZA,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,373990
Tanzania,TZA,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,371867
Tanzania,TZA,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,369744
Tanzania,TZA,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,364184
Tanzania,TZA,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,358713
Tanzania,TZA,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,353142
Tanzania,TZA,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,347571
Tanzania,TZA,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,342700
Tanzania,TZA,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,342000
Tanzania,TZA,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,341000
Tanzania,TZA,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,340000
Tanzania,TZA,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,339000
Tanzania,TZA,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,338000
Tanzania,TZA,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,337030
Tanzania,TZA,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,334219.9
Tanzania,TZA,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,330499.9
Tanzania,TZA,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,326779.9
Tanzania,TZA,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,323059.9
Tanzania,TZA,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,319339.9
Tanzania,TZA,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,315619.9
Tanzania,TZA,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,311899.9
Tanzania,TZA,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,320000
Tanzania,TZA,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,320000
Tanzania,TZA,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,320000
Tanzania,TZA,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,320000
Tanzania,TZA,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,320000
Tanzania,TZA,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,310000
Tanzania,TZA,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,310000
Tanzania,TZA,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,310000
Tanzania,TZA,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,310000
Tanzania,TZA,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,300000
Tanzania,TZA,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,300000
Tanzania,TZA,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,300000
Tanzania,TZA,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,290000
Tanzania,TZA,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,290000
Tanzania,TZA,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,290000
Tanzania,TZA,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,290000
Tanzania,TZA,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,290000
Tanzania,TZA,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,290000
Tanzania,TZA,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,290000
Tanzania,TZA,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,280000
Tanzania,TZA,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,270000
Tanzania,TZA,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,270000
Tanzania,TZA,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,270000
Tanzania,TZA,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,270000
Tanzania,TZA,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,270000
Tanzania,TZA,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,270000
Tanzania,TZA,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,270000
Tanzania,TZA,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,260000
Tanzania,TZA,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,260000
Tanzania,TZA,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.6163919620682
Tanzania,TZA,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.6163919620682
Tanzania,TZA,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.3776247459923
Tanzania,TZA,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.1379543915105
Tanzania,TZA,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.8982840370287
Tanzania,TZA,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.6586136825469
Tanzania,TZA,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.418943328065
Tanzania,TZA,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.1792729735832
Tanzania,TZA,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,42.9396026191014
Tanzania,TZA,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,42.3318965906525
Tanzania,TZA,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,42.4602619101377
Tanzania,TZA,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,42.2205915556559
Tanzania,TZA,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.9809212011741
Tanzania,TZA,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.7412508466923
Tanzania,TZA,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.1135696545496
Tanzania,TZA,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.4959358771732
Tanzania,TZA,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.8670128697223
Tanzania,TZA,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.2380898622714
Tanzania,TZA,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.6881914653421
Tanzania,TZA,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.6091668548205
Tanzania,TZA,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.4962745540754
Tanzania,TZA,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.3833822533303
Tanzania,TZA,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.2704899525852
Tanzania,TZA,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.1575976518401
Tanzania,TZA,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.0480921201174
Tanzania,TZA,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.7308534657936
Tanzania,TZA,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.3108941070219
Tanzania,TZA,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.8909347482502
Tanzania,TZA,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.4709753894784
Tanzania,TZA,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.0510160307067
Tanzania,TZA,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.631056671935
Tanzania,TZA,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.2110973131632
Tanzania,TZA,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.1255362384285
Tanzania,TZA,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.1255362384285
Tanzania,TZA,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.1255362384285
Tanzania,TZA,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.1255362384285
Tanzania,TZA,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.1255362384285
Tanzania,TZA,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,34.9966132309776
Tanzania,TZA,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,34.9966132309776
Tanzania,TZA,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,34.9966132309776
Tanzania,TZA,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,34.9966132309776
Tanzania,TZA,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,33.8676902235268
Tanzania,TZA,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,33.8676902235268
Tanzania,TZA,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,33.8676902235268
Tanzania,TZA,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.7387672160759
Tanzania,TZA,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.7387672160759
Tanzania,TZA,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.7387672160759
Tanzania,TZA,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.7387672160759
Tanzania,TZA,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.7387672160759
Tanzania,TZA,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.7387672160759
Tanzania,TZA,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.7387672160759
Tanzania,TZA,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,31.609844208625
Tanzania,TZA,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.4809212011741
Tanzania,TZA,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.4809212011741
Tanzania,TZA,1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.4809212011741
Tanzania,TZA,1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.4809212011741
Tanzania,TZA,1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.4809212011741
Tanzania,TZA,1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.4809212011741
Tanzania,TZA,1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.4809212011741
Tanzania,TZA,1962,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.3519981937232
Tanzania,TZA,1961,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.3519981937232
Tanzania,TZA,2021,Arable land (% of land area),AG.LND.ARBL.ZS,15.2432829081057
Tanzania,TZA,2020,Arable land (% of land area),AG.LND.ARBL.ZS,15.2432829081057
Tanzania,TZA,2019,Arable land (% of land area),AG.LND.ARBL.ZS,15.0384962745541
Tanzania,TZA,2018,Arable land (% of land area),AG.LND.ARBL.ZS,14.8337096410025
