Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
United States,USA,2021,Agricultural land (sq. km),AG.LND.AGRI.K2,4058103.538
United States,USA,2020,Agricultural land (sq. km),AG.LND.AGRI.K2,4058103.538
United States,USA,2019,Agricultural land (sq. km),AG.LND.AGRI.K2,4058103.538
United States,USA,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,4058103.538
United States,USA,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,4058103.538
United States,USA,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,4052646
United States,USA,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,4047187
United States,USA,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,4041729
United States,USA,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,4036270
United States,USA,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,4030810.538
United States,USA,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,4050364
United States,USA,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,4069917
United States,USA,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,4089470
United States,USA,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,4109023
United States,USA,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,4128576
United States,USA,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,4128988
United States,USA,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,4129396
United States,USA,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,4129809
United States,USA,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,4130223
United States,USA,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,4130640
United States,USA,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,4149440
United States,USA,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,4143990
United States,USA,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,4138870
United States,USA,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,4145880
United States,USA,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,4148850
United States,USA,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,4163060
United States,USA,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,4201390
United States,USA,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,4211390
United States,USA,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,4229480
United States,USA,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,4254290
United States,USA,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,4269480
United States,USA,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,4269480
United States,USA,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,4269480
United States,USA,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,4269480
United States,USA,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,4269480
United States,USA,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,4313990
United States,USA,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,4313990
United States,USA,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,4313990
United States,USA,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,4313990
United States,USA,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,4313990
United States,USA,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,4281630
United States,USA,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,4281630
United States,USA,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,4281630
United States,USA,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,4281630
United States,USA,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,4303310
United States,USA,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,4301580
United States,USA,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,4301580
United States,USA,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,4301580
United States,USA,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,4312000
United States,USA,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,4323000
United States,USA,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,4333000
United States,USA,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,4344000
United States,USA,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,4354470
United States,USA,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,4357950
United States,USA,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,4353070
United States,USA,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,4355500
United States,USA,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,4358730
United States,USA,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,4390120
United States,USA,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,4414430
United States,USA,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,4439910
United States,USA,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,4475090
United States,USA,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.363367353855
United States,USA,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.363367353855
United States,USA,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.363367353855
United States,USA,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.363367353855
United States,USA,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.363367353855
United States,USA,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.3037053070702
United States,USA,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.2440272776368
